Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.018444;25;23600041;15585800;12;11;0
2.018687;31;23599156;15585320;12;11;0
3.020042;30;23599274;15585384;12;11;0
4.021083;30;23599274;15585384;12;11;0
5.021645;30;23599274;15585384;12;11;0
6.022864;30;23599274;15585384;12;11;0
7.025224;29;23603324;15589212;12;11;0
8.025901;30;23603324;15589212;12;11;0
9.026731;30;23603324;15589212;12;11;0
10.02771;30;23603324;15589212;12;11;0
11.05565;26;23745173;15727011;16;15;1
12.05687;30;23745173;15727011;16;15;0
13.05835;30;23744819;15726819;16;15;0
14.05869;30;23744819;15726819;16;15;0
15.06034;30;23753829;15734452;20;19;1
16.06116;30;23753829;15734452;20;19;1
17.06228;30;23753475;15734260;20;19;0
18.06396;30;23753687;15734364;20;19;0
19.06453;30;23753687;15734364;20;19;0
20.06577;30;23753687;15734364;20;19;0
21.06693;30;23753687;15734364;20;19;0
22.06791;30;23753687;15734364;20;19;0
23.07153;30;23753687;15734364;20;19;0
24.07268;30;23753687;15734364;20;19;0
25.07397;30;23753734;15734384;20;19;0
26.07541;30;23753734;15734384;20;19;0
27.07667;30;23753734;15734384;20;19;0
28.07808;31;23757715;15737690;24;23;1
29.07866;30;23758187;15737946;24;23;0
30.08022;30;23756705;15736626;24;20;0
31.0808;30;23756705;15736626;24;20;0
32.08218;30;23757466;15737198;24;21;0
33.08326;30;23757466;15737198;24;21;1
34.10012;29;23760816;15739819;24;21;1
35.10172;30;23760816;15739819;24;21;1
36.10269;30;23761310;15740043;24;21;1
37.10342;30;23760816;15739819;24;21;1
38.10512;30;23760816;15739819;24;21;1
39.10552;30;23760816;15739819;24;21;1
40.10733;30;23760816;15739819;24;21;0
41.10759;30;23760816;15739819;24;21;0
42.1087;30;23760816;15739819;24;21;0
43.10976;30;23760600;15739711;24;20;0
44.11164;30;23760600;15739711;24;20;0
45.11294;30;23760600;15739711;24;20;0
46.11362;30;23764640;15742725;28;24;1
47.11445;30;23764424;15742617;28;23;0
48.11524;30;23764070;15742425;28;23;0
49.11641;30;23764070;15742425;28;23;0
50.11721;30;23764070;15742425;28;23;0
51.1183;30;23764070;15742425;28;23;0
52.12004;30;23764956;15743041;28;24;1
53.12154;30;23764956;15743041;28;24;0
54.12249;30;23764602;15742849;28;24;0
55.12341;30;23764602;15742849;28;24;0
56.12384;30;23764602;15742849;28;24;0
57.12632;30;23764602;15742849;28;24;0
58.12667;30;23778417;15755530;32;28;1
59.1286;30;23778417;15755530;32;28;0
60.12938;30;23778695;15755808;32;28;0
61.13002;30;23778695;15755808;32;28;0
62.13164;30;23778695;15755808;32;28;0
63.13329;30;23778695;15755808;32;28;0
64.13369;30;23778695;15755808;32;28;0
65.13676;30;23782420;15758885;36;32;1
66.16938;30;23782420;15758885;36;32;0
67.17095;30;23782420;15758885;36;32;1
68.17112;30;23782420;15758885;36;32;1
69.17265;30;23786124;15761698;36;32;1
70.17351;30;23786124;15761698;36;32;1
71.17432;30;23786124;15761698;36;32;1
72.17596;30;23786124;15761698;36;32;1
73.20914;30;23786194;15761714;36;32;1
74.21072;30;23786124;15761698;36;32;1
75.21136;30;23786124;15761698;36;32;1
76.21227;30;23786124;15761698;36;32;1
77.21328;30;23786124;15761698;36;32;0
78.2156;30;23789791;15764717;40;36;0
79.21708;30;23789412;15763933;40;36;1
80.21742;30;23789412;15763933;40;36;0
81.2189;30;23788704;15763549;40;36;0
82.22411;30;23793864;15767683;44;40;1
83.25491;30;23793156;15767299;44;40;0
84.25575;30;23793156;15767299;44;40;0
85.25657;30;23793156;15767299;44;40;0
86.2576;30;23793156;15767299;44;40;0
87.25852;30;23793156;15767299;44;40;0
88.26014;30;23793156;15767299;44;40;0
89.26164;30;23793156;15767299;44;40;0
90.26216;30;23798638;15771539;48;44;1
91.26292;30;23797702;15770819;48;44;0
92.2637;30;23796994;15770435;48;44;0
93.26509;30;23800743;15773050;52;48;1
94.26698;30;23800125;15772594;52;48;1
95.2674;30;23799417;15772210;52;48;0
96.26844;30;23805023;15776925;56;52;1
97.2702;30;23803867;15775985;56;52;2
98.27116;30;23803867;15775985;56;52;0
99.27168;30;23816151;15786946;60;56;1
100.2731;30;23814725;15785790;60;56;0
101.2737;30;23817292;15787709;64;60;1
102.2745;30;23817292;15787709;64;60;1
103.2761;30;23816584;15787325;64;60;1
104.277;30;23816272;15787121;64;50;0
105.2781;30;23816272;15787121;64;50;0
106.2791;30;23815918;15786929;64;50;0
107.2806;30;23815918;15786929;64;50;0
108.281;30;23815918;15786929;64;50;0
109.2821;30;23815918;15786929;64;50;0
110.2835;30;23815918;15786929;64;50;0
111.2848;30;23815918;15786929;64;50;0
112.2857;30;23815918;15786929;64;50;0
113.287;30;23815918;15786929;64;50;0
114.2876;30;23815918;15786929;64;50;0
115.2905;30;23815918;15786929;64;50;0
116.3234;30;23815918;15786929;64;50;0
117.3245;30;23815918;15786929;64;50;0
118.3253;30;23815918;15786929;64;50;0
119.3271;30;23815918;15786929;64;50;0
120.3282;30;23815918;15786929;64;50;0
121.329;30;23820796;15790916;68;54;1
122.3306;30;23821290;15791140;68;54;0
123.3313;30;23820442;15790724;68;54;0
124.3323;30;23820442;15790724;68;54;1
125.333;29;23820442;15790724;68;54;1
126.3372;30;23820442;15790724;68;54;0
127.3683;30;23820442;15790724;68;54;0
128.3697;30;23820442;15790724;68;54;0
129.3706;30;23820226;15790616;68;53;0
130.3719;30;23820226;15790616;68;53;0
131.3735;30;23820226;15790616;68;53;0
132.3743;30;23820226;15790616;68;53;0
133.3759;30;23820226;15790616;68;53;0
