Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.023515;26;23583048;15569104;12;11;0
2.024472;31;23582576;15568848;12;11;0
3.025892;30;23582611;15568856;12;11;0
4.04417;28;23724318;15706567;16;15;1
5.062892;28;23732308;15713336;16;15;1
6.064025;30;23732072;15713208;16;15;0
7.069064;30;23732119;15713228;16;15;0
8.099326;30;23732119;15713228;16;15;0
9.100353;30;23732119;15713228;16;15;0
10.10163;30;23732119;15713228;16;15;0
11.10363;30;23732089;15713144;16;14;0
12.10413;30;23732089;15713144;16;14;0
13.10502;30;23739403;15719324;20;18;1
14.10628;30;23739403;15719324;20;18;0
15.10977;30;23738833;15719024;20;17;0
16.14183;30;23738833;15719024;20;17;0
17.14815;30;23738833;15719024;20;17;0
18.14905;30;23738833;15719024;20;17;0
19.1507;30;23738833;15719024;20;17;0
20.15199;30;23738833;15719024;20;17;0
21.15358;30;23738833;15719024;20;17;0
22.1539;30;23738833;15719024;20;17;0
23.15582;30;23738833;15719024;20;17;0
24.15631;30;23738833;15719024;20;17;0
25.15869;30;23743174;15722420;24;21;1
26.16129;30;23747235;15725401;24;21;1
27.16134;30;23746524;15725041;24;21;0
28.16252;30;23746524;15725041;24;21;0
29.16356;30;23746947;15725302;24;22;1
30.16513;30;23747206;15725426;24;22;0
31.16597;30;23747206;15725426;24;22;0
32.16707;30;23747206;15725426;24;22;0
33.16829;30;23747206;15725426;24;22;0
34.17004;30;23747206;15725426;24;22;0
35.17019;30;23747206;15725426;24;22;0
36.17186;30;23747206;15725426;24;22;0
37.17316;30;23747206;15725426;24;22;0
38.17499;30;23751871;15728930;28;26;1
39.17696;30;23751681;15728794;28;26;1
40.21029;30;23751327;15728602;28;26;1
41.21162;30;23755031;15731415;28;26;1
42.21285;30;23755031;15731415;28;26;1
43.21394;30;23755031;15731415;28;26;0
44.21513;30;23769582;15744832;32;30;1
45.21667;30;23769582;15744832;32;30;0
46.2181;30;23768666;15744348;32;26;0
47.21982;30;23768666;15744348;32;26;0
48.22107;30;23768312;15744156;32;26;0
49.22289;30;23768312;15744156;32;26;0
50.22386;30;23768312;15744156;32;26;0
51.22524;30;23768312;15744156;32;26;0
52.22609;30;23768312;15744156;32;26;0
53.22792;30;23772748;15747701;36;30;1
54.22834;30;23776452;15750514;36;30;0
55.22974;30;23776098;15750322;36;30;0
56.23108;30;23776098;15750322;36;30;0
57.23308;30;23776098;15750322;36;30;0
58.23345;30;23776098;15750322;36;30;0
59.23569;30;23776098;15750322;36;30;0
60.23701;30;23776730;15750792;36;30;0
61.23911;30;23776730;15750792;36;30;0
62.25074;30;23776730;15750792;36;30;0
63.27322;30;23776730;15750792;36;30;0
64.27493;31;23780620;15753359;40;34;1
65.27609;30;23780014;15753023;40;34;1
66.27745;30;23779660;15752831;40;34;1
67.27873;30;23783428;15755708;40;34;1
68.28004;30;23783428;15755708;40;34;0
69.28146;30;23783405;15755712;40;34;0
70.28281;30;23783405;15755712;40;34;0
71.28384;30;23783405;15755712;40;34;0
72.28602;30;23783405;15755712;40;34;0
73.28622;30;23783405;15755712;40;34;0
74.28814;30;23783405;15755712;40;34;0
75.28972;30;23783405;15755712;40;34;0
76.28993;30;23783181;15755596;40;32;0
77.29187;30;23783181;15755596;40;32;0
78.29305;30;23787401;15759006;44;36;1
79.29472;30;23787432;15759010;44;36;1
80.29568;30;23790782;15761631;44;36;1
81.29752;30;23790782;15761631;44;36;1
82.29805;30;23790782;15761631;44;36;0
83.29953;30;23790782;15761631;44;36;0
84.30112;30;23790782;15761631;44;36;0
85.30283;30;23790782;15761631;44;36;0
86.30457;30;23795108;15764931;48;40;1
87.30579;30;23795108;15764931;48;40;1
88.30754;30;23798458;15767552;48;40;1
89.30835;30;23798458;15767552;48;40;0
90.31;30;23801577;15769699;52;44;1
91.31355;30;23805281;15772512;52;44;1
92.34649;30;23804573;15772128;52;44;0
93.38057;30;23804573;15772128;52;44;0
94.38175;30;23808291;15775171;56;48;1
95.38263;30;23808291;15775171;56;48;1
96.38412;30;23808291;15775171;56;48;0
97.38586;30;23818689;15784516;60;52;1
98.38644;30;23818689;15784516;60;52;1
99.38808;31;23821685;15786945;60;52;1
100.3895;30;23821685;15786945;60;52;0
101.3916;30;23825494;15789620;64;56;1
102.3921;30;23829734;15792861;64;56;1
103.3931;29;23827964;15791685;64;56;1
104.3942;30;23827964;15791685;64;56;0
105.3959;30;23827696;15791525;64;50;0
106.3971;30;23827696;15791525;64;50;0
107.3985;30;23827342;15791333;64;50;0
108.3996;30;23827342;15791333;64;50;0
109.4014;30;23827342;15791333;64;50;0
110.403;30;23827342;15791333;64;50;0
111.4042;30;23827342;15791333;64;50;0
112.4052;30;23827342;15791333;64;50;0
113.4069;30;23827342;15791333;64;50;0
114.4085;30;23827342;15791333;64;50;0
115.4099;30;23827342;15791333;64;50;0
116.4108;30;23827342;15791333;64;50;0
117.4132;30;23827342;15791333;64;50;0
118.414;30;23827342;15791333;64;50;0
119.4154;30;23827342;15791333;64;50;0
120.417;30;23827342;15791333;64;50;0
121.4189;30;23827342;15791333;64;50;0
122.4194;30;23827342;15791333;64;50;0
123.4202;30;23827342;15791333;64;50;0
124.4223;30;23827342;15791333;64;50;0
125.4239;30;23827342;15791333;64;50;0
126.4325;30;23827342;15791333;64;50;0
127.4589;30;23827342;15791333;64;50;0
128.4601;30;23827342;15791333;64;50;0
129.4617;30;23827342;15791333;64;50;0
130.4634;30;23827342;15791333;64;50;0
131.4648;30;23827342;15791333;64;50;0
132.4656;30;23827342;15791333;64;50;0
133.4673;30;23827342;15791333;64;50;0
134.4684;30;23827342;15791333;64;50;0
