Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.01215;34;24591811;16774764;38;37;1
2.014285;61;24590579;16774140;38;37;1
3.016076;60;24589039;16773436;38;37;1
4.017884;60;24626169;16809939;38;37;2
5.01967;60;24631299;16812447;38;37;2
6.021476;60;24630617;16812183;38;37;2
7.023273;59;24637279;16818474;38;37;2
8.025064;60;24636071;16817874;38;37;2
9.026858;60;24635039;16817450;38;37;2
10.02866;60;24638302;16818680;38;37;2
11.03047;60;24639790;17597848;38;37;3
12.03227;60;24639180;16819900;38;37;3
13.03407;60;24638439;16819520;38;37;3
14.03589;60;24641177;16821973;38;37;3
15.03813;60;24640325;16821577;38;37;3
16.03991;60;24639540;16821229;38;37;3
17.04169;60;24644245;16823369;38;37;3
18.04346;60;24643767;16823157;38;37;3
19.04525;60;24644131;16823369;38;37;3
20.04703;60;24643431;17303697;38;37;3
21.04881;60;24641901;16822241;38;37;3
22.0506;60;24641877;16822293;38;37;3
23.05281;60;24640911;16821897;38;37;3
24.05459;60;24639424;16821113;38;37;3
25.05636;60;24639231;16821129;38;37;3
26.05813;60;24643180;16822893;38;37;3
27.05992;60;24643081;17302543;38;37;3
28.0617;60;24641154;16821703;38;37;3
29.0641;60;24640536;16821427;38;37;3
30.06611;60;24639801;16821091;38;37;3
31.06804;60;24639054;16820743;38;37;3
32.07011;60;24637977;16820179;38;37;1
33.07174;60;24642177;16822099;38;37;1
34.07392;60;24641127;16821619;38;37;1
35.07521;60;24639867;16821043;38;37;1
36.07733;60;24638607;16820467;38;37;1
37.07914;60;24642807;16822387;38;37;1
38.08095;60;24641757;16821907;38;37;1
39.08275;60;24640497;16821331;38;37;1
40.08455;60;24639237;16820755;38;37;1
41.08634;60;24641617;16823211;38;37;2
42.08815;60;24645901;16825139;38;37;2
43.08995;60;24649331;16827904;38;37;2
44.09174;60;24647239;16826952;38;37;2
45.09621;60;24646189;16826472;38;37;2
46.09799;60;24647412;16828151;38;37;3
47.0998;60;24646556;16827675;38;37;3
48.1016;60;24650177;16829149;38;37;3
49.10341;60;24649236;16828645;38;37;1
50.10521;60;24648186;16828165;38;37;1
51.10747;60;24647066;17671578;38;37;1
52.10928;60;24645946;16827141;38;37;1
53.1111;60;24650146;17819811;38;37;1
54.11337;60;24649096;17377926;38;37;1
55.11523;60;24647976;16936009;38;37;1
56.11712;60;24646856;16827557;38;37;1
57.11898;60;24645736;17082120;38;37;1
58.12088;60;24651270;17675345;38;37;2
59.12274;60;24650454;16829502;38;37;2
