Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.003758;33;24593731;16776934;38;37;1
2.005538;61;24593015;16776598;38;37;1
3.00743;60;24591475;16775894;38;37;1
4.008989;60;24589935;16775190;38;37;1
5.010539;60;24632599;16814225;38;37;2
6.012638;60;24632359;16814289;38;37;2
7.014293;59;24634669;16816542;38;37;2
8.015965;60;24633487;16816006;38;37;2
9.017622;60;24638037;16818086;38;37;2
10.01928;59;24635840;16816820;38;37;2
11.02095;60;24635078;16816476;38;37;2
12.02262;60;24633527;16815704;38;37;1
13.02428;60;24632267;16815128;38;37;1
14.02594;60;24636467;16817048;38;37;1
15.0276;60;24635417;16816568;38;37;1
16.02925;60;24634157;16815992;38;37;1
17.03092;60;24635020;16817026;38;37;2
18.03258;60;24633914;16816490;38;37;2
19.03471;60;24641488;16821119;38;37;2
20.03644;60;24640704;16820791;38;37;2
21.03815;60;24639294;16820103;38;37;2
22.03987;60;24637516;16819085;38;37;2
23.04159;60;24637220;16819207;38;37;2
24.04331;60;24641040;17007501;38;37;1
25.04503;60;24639403;17595651;38;37;1
26.04675;60;24644189;16824694;38;37;2
27.04847;59;24646521;16826931;38;37;2
28.05019;61;24645331;17527724;38;37;2
29.05183;60;24649671;16828371;38;37;2
30.05363;60;24648621;16827891;38;37;2
31.05534;60;24647773;16827499;38;37;2
32.05707;60;24647055;16827218;38;37;3
33.05879;60;24649799;16829639;38;37;3
34.06051;60;24649049;16829307;38;37;3
35.06223;60;24647781;16828533;38;37;3
36.06395;60;24651298;16830017;38;37;1
37.06568;60;24650598;16829697;38;37;1
38.06701;60;24649478;17231395;38;37;1
39.06873;60;24648358;16828673;38;37;1
40.07045;60;24647238;16828161;38;37;1
41.07217;61;24651438;16938021;38;37;1
42.07389;60;24650388;16829601;38;37;1
43.0756;60;24649268;16829089;38;37;1
44.07733;60;24648148;17673122;38;37;1
45.07905;60;24647028;17230585;38;37;1
46.08076;60;24651228;16829985;38;37;1
47.08231;55;26033469;18212644;38;37;1
48.08403;59;26032657;18212212;38;37;1
49.08575;60;26031467;18211668;38;37;1
50.08796;60;26030347;18211156;38;37;1
51.08976;60;26034547;18213076;38;37;1
52.09156;60;26033497;18972595;38;37;1
53.09336;60;26032377;18212084;38;37;1
54.09518;56;27414548;19594711;38;37;1
55.09697;61;27413736;19594279;38;37;1
56.09875;60;27417936;19596199;38;37;1
57.10054;60;27416886;19595719;38;37;1
58.10236;60;27415766;19595207;38;37;1
59.10418;55;28798147;20977930;38;37;1
60.10598;63;28797727;20977738;38;37;1
61.10777;60;28801535;20979418;38;37;1
62.10924;60;28800485;20978938;38;37;1
63.11117;60;28799365;21823358;38;37;1
64.11245;60;28798245;20977914;38;37;1
65.11395;60;28797125;21822334;38;37;1
66.11548;59;28801325;20979322;38;37;1
67.11734;61;28800275;20978842;38;37;1
68.11935;60;28799155;20978330;38;37;1
69.12094;57;30182398;23404335;38;37;1
70.12254;60;30181096;22361069;38;37;1
71.12463;60;30185296;22362989;38;37;1
72.12633;60;30184246;22814642;38;37;1
73.12806;60;30183126;22814130;38;37;1
74.12978;60;30182006;22913096;38;37;1
75.13149;60;30180886;22360973;38;37;1
76.13321;60;30185086;22362893;38;37;1
77.13494;60;30186249;22364151;38;37;2
78.1373;60;30185081;22363591;38;37;2
79.13921;60;30183883;22363039;38;37;2
80.14113;60;30181516;22361641;38;37;1
81.14262;60;30185716;22363561;38;37;1
82.14432;60;30184666;22363081;38;37;1
83.14605;60;30183301;22362457;38;37;1
84.1552;59;30182076;22361897;38;37;1
85.15691;59;30180816;22361321;38;37;1
86.15898;61;30185380;22363054;38;37;2
87.16061;60;30183847;22362262;38;37;2
88.1628;60;30181694;22361040;38;37;1
89.16476;59;30182095;22361574;38;37;2
90.16673;61;30185959;22363310;38;37;2
91.16818;60;30185111;22362918;38;37;2
92.16991;61;30184121;22362422;38;37;2
93.17164;60;30183151;22828144;38;37;2
94.17336;60;30182179;22361582;38;37;2
95.17574;60;30180601;22360802;38;37;1
96.17719;52;31567225;23745203;38;37;1
97.17899;59;31566483;24262622;38;37;1
98.18079;60;31565293;23744259;38;37;1
99.1863;60;31565130;23744457;38;37;2
100.1881;60;31568263;23745905;38;37;2
101.1899;60;31568578;23746081;38;37;2
102.1918;60;31566503;23744823;38;37;2
103.1936;60;31566468;23744997;38;37;3
104.1954;60;31565316;23744377;38;37;3
105.1972;60;31565739;24595077;38;37;4
106.199;60;31564961;23744269;38;37;4
107.2009;60;31565035;23744381;38;37;4
108.2027;60;31565259;23744605;38;37;4
109.2045;57;32948561;25127888;38;37;2
110.2063;60;32952290;25129508;38;37;2
111.2081;60;32950066;25128158;38;37;1
112.2104;60;32951881;25130049;38;37;2
113.2122;60;32950151;25129193;38;37;2
114.2139;60;32953147;25130561;38;37;2
115.2157;60;32953427;25130721;38;37;2
116.2174;60;32952735;25130409;38;37;2
117.2192;60;32951387;25129745;38;37;2
118.2209;60;32950565;25129417;38;37;2
119.2227;60;32949445;25128905;38;37;2
120.2241;60;32953567;25130785;38;37;2
121.2259;59;32952008;25129815;38;37;2
122.2277;60;32951028;25129367;38;37;2
123.2295;60;32949380;25128555;38;37;1
124.2313;60;32948085;25127963;38;37;1
125.2327;59;32952320;25129899;38;37;1
126.2341;61;32951200;25129387;38;37;1
127.2362;60;32950392;25128693;38;37;2
128.2381;60;32949156;26040400;38;37;2
129.2396;60;32951741;25128959;38;37;1
130.2414;60;32950691;25302105;38;37;1
131.2432;60;32949431;25127903;38;37;1
132.2451;60;32948101;25127295;38;37;1
133.2464;60;32946806;25126703;38;37;1
134.2481;60;32951041;25128639;38;37;1
135.2498;60;32949991;25128159;38;37;1
136.2514;60;32948731;25301209;38;37;1
137.2531;60;32947401;25126975;38;37;1
138.2547;60;32951601;25302521;38;37;1
139.2564;60;32950551;25128415;38;37;1
140.2581;60;32949291;25301465;38;37;1
141.2597;60;32947961;25127231;38;37;1
142.2614;60;32952161;25129151;38;37;1
143.263;60;32950971;25302233;38;37;1
144.2647;60;32949851;25301721;38;37;1
145.2658;60;32950247;25128643;38;37;2
146.2673;60;32948853;25127971;38;37;2
147.2687;60;32953131;25344972;38;37;2
148.2702;60;32952615;25129738;38;37;3
149.2716;60;32951555;25129210;38;37;3
150.273;60;32951139;25129098;38;37;3
151.2745;60;32950133;25128586;38;37;3
152.2759;60;32949515;25128310;38;37;3
153.2774;60;32952407;26154040;38;37;3
154.2788;60;32957000;25666995;38;37;3
155.2799;60;32955741;25132351;38;37;3
156.2813;60;32955007;25131959;38;37;3
157.2828;60;32954787;25315280;38;37;3
158.2842;60;32953607;25131319;38;37;3
159.2857;60;32953387;25131327;38;37;3
160.2872;60;32952463;25130859;38;37;3
161.2886;60;32955131;25133280;38;37;3
162.2901;59;32959355;25135148;38;37;3
163.2915;60;32959065;25135124;38;37;3
164.2935;60;32958141;25134656;38;37;3
165.295;60;32957441;25134336;38;37;3
166.2966;60;32956659;25133972;38;37;3
167.2981;60;32955785;25769588;38;37;3
168.2996;60;32954840;25132780;38;37;2
169.3012;60;32959116;25134700;38;37;2
170.3027;60;32958504;25134468;38;37;2
171.3043;60;32957586;25349085;38;37;2
172.3061;60;32956264;25133444;38;37;2
173.3081;60;32953799;25132062;38;37;1
174.3095;60;32960511;25135848;38;37;3
175.3109;60;32958979;25135076;38;37;3
176.3124;56;34340312;26517017;38;37;1
177.3143;60;34340743;26517467;38;37;2
178.3158;60;34340162;26517247;38;37;3
179.3173;60;34339321;26516843;38;37;3
180.3189;60;34338872;26516679;38;37;3
181.3204;60;34342775;26518359;38;37;3
182.3219;59;34342729;26518427;38;37;3
183.3234;55;35724666;27900858;38;37;3
184.325;60;35724484;27900714;38;37;3
185.3265;60;35724200;27900658;38;37;2
186.328;60;35722157;27899508;38;37;1
187.3295;60;35720369;28613433;38;37;1
188.331;60;35724569;27900476;38;37;1
189.3325;60;35723449;28614841;38;37;1
190.3341;60;35722189;27899388;38;37;1
191.3356;60;35720859;27898780;38;37;1
192.3371;60;35725059;28615887;38;37;1
193.3389;60;35724009;28615097;38;37;1
194.341;60;35722749;28614521;38;37;1
195.3428;60;35721419;27899036;38;37;1
196.3439;60;35725619;27900956;38;37;1
197.3454;60;35724429;28615289;38;37;1
198.3467;60;35723309;27899900;38;37;1
199.3481;60;35722049;27899324;38;37;1
200.3495;60;35720719;27898716;38;37;1
201.3516;60;35724919;28615513;38;37;1
202.3531;59;35723869;27900156;38;37;1
203.3547;60;35722609;27899580;38;37;1
204.3563;60;35721279;27898972;38;37;1
205.3579;60;35725479;27900892;38;37;1
206.3595;60;35724429;27900412;38;37;1
207.361;60;35723309;27899900;38;37;1
208.3626;60;35722014;27899308;38;37;1
209.3642;60;35722087;27899514;38;37;2
210.3665;60;35726231;28014413;38;37;2
211.3683;60;35725058;27900794;38;37;2
212.3702;60;35724306;27900514;38;37;2
213.3721;60;35723003;27899898;38;37;2
214.374;60;35721304;27898864;38;37;2
215.3759;60;35726003;27901226;38;37;2
216.3777;60;35725391;27900994;38;37;2
217.3792;60;35723016;27899588;38;37;1
218.381;60;35721756;27899012;38;37;1
219.3828;60;35720426;27898404;38;37;1
220.3845;60;35724626;27900324;38;37;1
221.3863;60;35723576;27899844;38;37;1
222.388;60;35722316;28204266;38;37;1
223.3898;60;35720986;27898660;38;37;1
224.3916;60;35725186;27900580;38;37;1
225.3933;60;35724136;27900100;38;37;1
226.3951;60;35723016;27899588;38;37;1
227.3974;60;35721756;27899012;38;37;1
228.3992;59;35720426;27898404;38;37;1
229.4006;61;35727411;27902634;38;37;2
230.4022;60;35725903;27901886;38;37;1
231.4037;60;35724587;27901254;38;37;1
232.4058;60;35722600;27900084;38;37;1
233.4077;60;35723001;27900618;38;37;2
234.4096;60;35726547;27902150;38;37;1
235.4115;59;35724910;27901140;38;37;1
236.413;60;35723685;27900580;38;37;1
237.4148;60;35722390;27899988;38;37;1
238.4167;60;35726590;28551409;38;37;1
239.4186;60;35725400;27901364;38;37;1
240.4205;60;35724280;27900852;38;37;1
241.4224;60;35723020;27900276;38;37;1
242.4243;60;35721690;27899668;38;37;1
243.4261;60;35725890;27901588;38;37;1
244.428;60;35724840;28550299;38;37;1
245.4299;60;35723580;27900532;38;37;1
246.4318;60;35724367;27901414;38;37;2
247.4336;60;35721621;27899808;38;37;1
248.4355;60;35726035;27901486;38;37;2
249.4374;60;35728655;27903859;38;37;2
250.4386;60;35727255;27903219;38;37;2
251.4405;60;35726205;27902739;38;37;2
252.4423;59;35725077;27902219;38;37;2
253.4442;61;35729355;27904179;38;37;2
254.446;60;35728891;28636108;38;37;3
255.4474;60;35727992;28634940;38;37;3
256.4492;59;35731013;27906160;38;37;3
257.451;61;35730397;27905924;38;37;3
258.4527;60;35729287;27905308;38;37;3
259.4545;60;35728913;27905200;38;37;3
260.456;60;35732811;27906932;38;37;3
261.4578;60;35732553;28641139;38;37;3
262.459;60;35731911;27906564;38;37;3
263.4606;60;35731107;27906140;38;37;3
264.4621;60;35730733;27906032;38;37;3
265.4637;60;35731911;27907400;38;37;4
266.4657;60;35734639;27909729;38;37;4
267.4673;60;35734005;28643986;38;37;4
268.4688;60;35734005;27909361;38;37;4
269.4705;60;35733819;27909289;38;37;4
270.4725;60;35733904;27909393;38;37;4
271.4743;60;35733445;27909105;38;37;4
272.476;60;35733180;28359005;38;37;4
273.4778;60;35732750;27908695;38;37;4
274.4796;60;35732815;27908817;38;37;4
275.4814;60;35737299;27910945;38;37;4
276.4832;60;35735489;27909097;38;37;2
