Time;Fps;ReservedMemory;AllocatedMemory;GameObjectCount;activeGameObjectCount;visibleGameObjectCount
1.013395;32;24591780;16774752;38;37;1
2.014815;61;24590649;17550244;38;37;1
3.016365;60;24589109;17107515;38;37;1
4.017918;60;24587773;16772892;38;37;1
5.019483;60;24631579;16812651;38;37;2
6.020633;60;24630263;17657828;38;37;2
7.021964;60;24629143;16811507;38;37;2
8.023301;60;24627751;16810875;38;37;2
9.025079;60;24630642;16811885;38;37;1
10.02697;60;24629382;17213829;38;37;1
11.02788;60;24627842;16810605;38;37;1
12.03005;60;24626302;16809901;38;37;1
13.03179;60;24630502;16919761;38;37;1
14.03937;60;24629172;17508623;38;37;1
15.0411;60;24627632;16810509;38;37;1
16.04234;60;24626092;16809805;38;37;1
17.04396;60;24630292;16811725;38;37;1
18.0456;60;24628962;16811117;38;37;1
19.04721;60;24627422;17360378;38;37;1
20.04882;60;24625882;16809709;38;37;1
21.05045;60;24630082;17508729;38;37;1
22.05207;60;24628752;16811021;38;37;1
23.05369;60;24627212;16810317;38;37;1
24.05532;60;24627320;16810767;38;37;2
25.05693;60;24630953;16812367;38;37;2
26.05855;59;24631451;16813093;38;37;2
27.0597;61;24629729;16812245;38;37;2
28.06124;59;24628501;16811701;38;37;2
29.06277;60;24632655;16813613;38;37;2
30.06432;60;24631613;16813141;38;37;2
31.06586;60;24629486;16811907;38;37;2
32.06798;60;24628148;16811291;38;37;2
33.06966;60;24632566;16852782;38;37;2
34.07133;60;24630848;16812471;38;37;1
35.07301;60;24629483;16811863;38;37;1
36.0747;60;24631466;16814115;38;37;2
37.07639;59;24630080;16813451;38;37;2
38.07772;61;24634140;16815307;38;37;2
39.07945;60;24633012;16814787;38;37;2
40.08068;60;24634157;16816426;38;37;3
41.08216;60;24633501;16816150;38;37;3
42.08365;60;24632689;16815794;38;37;3
43.08587;60;24635798;16816908;38;37;3
44.08744;60;24636162;16817386;38;37;3
45.089;59;24634970;16816802;38;37;3
46.09071;60;24633921;16816266;38;37;3
47.09197;60;24633197;16815998;38;37;3
48.09335;60;24632814;16815881;38;37;4
49.09472;60;24632751;16815913;38;37;4
50.09681;60;24636745;16817665;38;37;4
51.09831;60;24640020;16820845;38;37;5
52.10004;60;24639410;16820425;38;37;5
53.10178;60;24639556;16820609;38;37;5
54.10292;60;24637874;16819383;38;37;5
55.10439;60;24638374;16819541;38;37;6
56.10585;60;24638541;16819613;38;37;6
57.1073;60;24635792;16818745;38;37;7
58.10876;60;24634772;16817421;38;37;8
59.11024;60;24635490;16817721;38;37;8
60.1119;60;24636658;16818319;38;37;8
61.11364;60;24636059;16818651;38;37;9
62.11496;60;24637053;17382381;38;37;9
63.11676;60;24641353;16823935;38;37;10
64.11814;60;24642090;17493574;38;37;10
65.11951;60;24641112;16823647;38;37;11
66.1209;60;24641940;16823639;38;37;11
67.12312;60;24640303;16822629;38;37;11
68.12459;60;24640241;17008903;38;37;1
69.12592;60;24638841;17596803;38;37;1
70.12736;60;24644495;16824579;38;37;2
71.12879;60;24643297;17379888;38;37;2
72.13055;60;24642129;16823467;38;37;2
73.13271;60;24641001;16822947;38;37;2
74.13463;60;24640029;16822507;38;37;2
75.13578;60;24644229;16824427;38;37;2
76.13732;60;24643599;16824139;38;37;2
77.13885;60;24642611;16823683;38;37;2
78.14085;60;24641341;16823059;38;37;2
79.1425;60;24640519;16822731;38;37;2
80.14417;60;24638524;16821553;38;37;2
81.14583;60;24642802;16823513;38;37;2
82.1475;60;24642242;16823257;38;37;2
83.14915;60;24640524;16822413;38;37;1
84.15081;60;24639194;16821805;38;37;1
85.15247;60;24639264;16821789;38;37;1
86.15414;60;24642134;17519629;38;37;1
87.15578;60;24642558;16823687;38;37;2
88.15745;60;24641382;16823119;38;37;2
89.15911;60;24639325;16821917;38;37;2
90.16077;60;24643067;17814319;38;37;1
91.16242;60;24642157;16823153;38;37;1
92.16409;60;24640967;16822609;38;37;1
93.16576;60;24639637;16822001;38;37;1
94.16741;60;24638377;16821425;38;37;1
95.16907;60;24642577;16823345;38;37;1
96.17073;60;24641457;16822833;38;37;1
97.17239;60;24640197;16822257;38;37;1
98.17406;60;24638937;16821681;38;37;1
99.17571;60;24643137;16823601;38;37;1
100.1774;60;24642017;17520189;38;37;1
101.179;60;24641980;16823375;38;37;2
102.1807;60;24640434;16822627;38;37;1
103.1823;60;24638447;16821457;38;37;1
104.184;60;24642647;17009979;38;37;1
105.1857;60;24641527;17598627;38;37;1
106.1873;60;24640197;16822257;38;37;1
107.189;60;24638937;16821681;38;37;1
108.1907;60;24643137;16823601;38;37;1
109.1923;60;24642017;16823089;38;37;1
110.194;60;24642355;16823617;38;37;2
111.1956;60;24641031;16822977;38;37;2
112.1973;60;24640799;16822973;38;37;3
